,,,,,,Date,,,,,,,,,Terms,,,,,,,,,,,,,,Results,,,,,,,,,,Pricing,,,,,,Market Pricing,,,,,,,Trading Statistics,,,,,,,,,,cust_trr_start_dt,cust_trr_end_dt,cust_trr_return_holding_per,,,,Predicted Participation at Tender Price,,,,,,,,,Predicted Premium of Tender Price,,,,,,,,,
,Notes,Ticker,Concatenation ,Target Name,Market Cap,Announced,Expiration,Pre-Deal Date,5-Days Prior to Expiration Date,Post Expiration Date,,,Duration,,Min Price,Max Price,Min Shares,Max Shares ,Min Value,Max Value,Size by Shrs,Upsided Option (shrs),Max Upside with 2%,Shares Eligible for Tender,Total Shares O/S,Relative Size,Adjusted Relative Size,,Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Premium Paid,Shares Purchased,Value Repurchased,Proration At Acceptance Price % (total shares),Proration At Acceptance Price % (announced shares),Participation at Acceptance Price % ,,Pre-Deal,Deal on Announcement,5-Days Prior to Expiration Date,On Expiration Date,After Expiration,,SPX on Deal Announcement,SPX on Expiration Date,VIX on Expiration Date,Implied Vol - Vix,52 Week Low,52 Week High,,Tender Premium % (Low tender price),Tender Premium % (high tender price),Pro-Rate (low tender price),Pro-Rate (high tender price),Total Excess Volume vs. Historical Average,Implied Pre-Deal Vol (60-day),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Stock Change Post Tender Expiration,Change in SPX over Tender Period,Stock vs. SPX over Tender Period,Total Excess Volume / Average Shares to be Repurchased,Stock Pre Tender 90 Day Performance,Implied Pre 90 Day Price,Tender Premium to 3 Month Pre-Tender Price,,Participation at Tender Price,Adjusted Relative Size,Tender Premium % (high tender price),Excess Volume / Average Shares to be Repurchased,Stock Appreciation Over Tender Period,Stock Change Post Tender Expiration,,Tender Premium to 3 Month Pre-Tender Price,,Premium Paid,Tender Premium % (high tender price),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Total Excess Volume / Average Shares to be Repurchased,,Stock Change On Announce Day,,,
,"Announce {NSN HU97WJ3V2801 <go>}, Final {NSN HVUJS93V2803 <go>}",TW US,TW US Equity,Towers Watson & Co,#N/A,3/8/2004,4/2/2004,3/5/04,3/26/04,4/5/04,20031205,20040305,24,,$23.00,$25.25,3.6,3.6,$82.8,$90.9,X,,,#N/A,#N/A,#N/A,#N/A,,0.8,0.8,$25.25,#N/A,0.8,$21.0,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,26.23%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,26.23%,,#N/A,,,
,"Announce {NSN HYXRYB3PWT1D <go>}, Final {NSN I0Y1CS3PWT1D <go>}",BTH US,BTH US Equity,Blyth Inc,#N/A,6/7/2004,7/9/2004,6/4/04,7/1/04,7/12/04,20040305,20040604,32,,$30.00,$35.00,4.0,4.0,$120.0,$140.0,X,4.9,,#N/A,#N/A,#N/A,#N/A,,6.9,6.9,$35.00,#N/A,4.9,$171.7,70.9%,57.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,3.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,76.49%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,76.49%,,#N/A,,,
,Announce {NSN HZI8UM3V7U9T <go>},IT US,IT US Equity,Gartner Inc,#N/A,6/18/2004,7/30/2004,6/17/04,7/23/04,8/2/04,20040318,20040617,42,,$12.50,$13.50,11.3,11.3,$141.3,$152.6,X,14.6,,#N/A,#N/A,#N/A,#N/A,,14.6,N/A,$13.30,#N/A,14.6,$194.4,100.0%,77.3%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,5.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,44.58%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,44.58%,,#N/A,,,
,Announce {NSN I2AY7Q3V2801 <go>},CACC US,CACC US Equity,Credit Acceptance Corp,#N/A,8/12/2004,9/9/2004,8/11/04,9/1/04,9/10/04,20040512,20040811,27,,$14.00,$20.00,3.0,3.0,$42.0,$60.0,X,,,#N/A,#N/A,#N/A,#N/A,,2.7,2.7,$20.00,#N/A,2.7,$53.5,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,23.36%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,23.36%,,#N/A,,,
,Announce {NSN I3202Q3TCF0H <go>},PPD US,PPD US Equity,Pre-Paid Legal Services Inc,#N/A,8/26/2004,9/28/2004,8/25/04,9/21/04,9/29/04,20040526,20040825,32,,$22.50,$26.00,1.0,1.0,$22.5,$26.0,X,,,#N/A,#N/A,#N/A,#N/A,,1.0,1.0,$26.00,#N/A,1.0,$25.5,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,197.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,197.68%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,197.68%,,#N/A,,,
,Announce {NSN I3ZXG13V2801 <go>},PGR US,PGR US Equity,Progressive Corp/The,#N/A,9/14/2004,10/15/2004,9/13/04,10/8/04,10/18/04,20040614,20040913,31,,$78.00,$88.00,17.1,17.1,"$1,333.8","$1,504.8",X,,,#N/A,#N/A,#N/A,#N/A,,16.9,16.9,$88.00,#N/A,16.9,"$1,488.9",100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,23.07%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,23.07%,,#N/A,,,
,,LTD US,LTD US Equity,Ltd Brands Inc,#N/A,10/7/2004,11/22/2004,10/6/04,11/15/04,11/23/04,20040707,20041006,45,,$25.25,$29.00,69.0,79.2,"$2,000.0","$2,000.0",,,,412.0,475.0,15.6%,18.0%,,87.8,87.8,$29.00,#N/A,69.0,"$2,000.0",78.6%,78.6%,21.3%,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,16.7%,19.2%,44.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.0%,#NAME?,#N/A,#N/A,,21.30%,17.98%,#N/A,60.00%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,60.00%,,#N/A,,,
,"Announce {NSN I5IVOJ3T6SQP <go>}, Final {NSN I70P763T6SQP <go>}",3605818Q US,3605818Q US Equity,HCA Inc/DE - Pre 2010 IPO,#N/A,10/13/2004,11/11/2004,10/12/04,11/4/04,11/12/04,20040713,20041012,28,,$35.00,$41.00,61.0,61.0,"$2,135.0","$2,501.0",X,62.0,,#N/A,#N/A,#N/A,#N/A,,62.0,93.0,$39.75,#N/A,62.0,"$2,465.5",100.0%,98.3%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,68.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,113.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,112.99%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,112.99%,,#N/A,,,
,Announce {NSN I6LWFU3PWT1E <go>},UNTD US,UNTD US Equity,United Online Inc,#N/A,11/3/2004,12/13/2004,11/2/04,12/6/04,12/14/04,20040803,20041102,40,,$9.00,$10.50,14.3,14.3,$128.6,$150.0,X,,,#N/A,#N/A,#N/A,#N/A,,0.0,0.0,$10.50,#N/A,0.0,$0.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-13.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-93.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-93.35%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-93.35%,,#N/A,,,
,Ammend {NSN I8S1ID3V2801 <go>},VTRU US,VTRU US Equity,Vertrue Inc,#N/A,11/8/2004,1/7/2005,11/5/04,12/31/04,1/10/05,20040806,20041105,59,,$33.50,$38.50,0.5,0.5,$16.8,$19.3,X,0.6,,#N/A,#N/A,#N/A,#N/A,,0.6,0.6,$38.50,#N/A,0.6,$23.3,100.0%,82.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-35.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-35.26%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-35.26%,,#N/A,,,
,"Announce {NSN IB6R9P3V7U9T <go>}, NSN IDGBPE3V7U9T ",CSS US,CSS US Equity,CSS Industries Inc,#N/A,1/31/2005,3/4/2005,1/28/05,2/25/05,3/7/05,20041029,20050128,34,,$30.00,$35.00,1.5,1.5,$45.0,$52.5,X,1.7,,#N/A,#N/A,#N/A,#N/A,,2.0,2.0,$35.00,#N/A,1.7,$60.9,86.6%,74.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,65.94%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,65.94%,,#N/A,,,
,"Announce {NSN IE5YOJ3TCF0J <go>}, Final {NSN IGQH8Z3T6SQP <go>}",OMX US,OMX US Equity,OfficeMax Inc,#N/A,3/30/2005,5/9/2005,3/29/05,5/2/05,5/10/05,20041228,20050329,39,,$30.00,$34.00,23.5,23.5,$705.0,$799.0,X,,,#N/A,#N/A,#N/A,#N/A,,25.3,N/A,$33.00,#N/A,23.5,$775.5,92.8%,92.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,8.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.8%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,37.76%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,37.76%,,#N/A,,,
,"Announce {NSN IEH42B3V7U9V <go>}, Final {NSN IG194I3V7U9T <go>}",TNS US,TNS US Equity,TNS Inc,#N/A,4/5/2005,5/3/2005,4/4/05,4/26/05,5/4/05,20050103,20050404,28,,$18.00,$18.50,9.0,9.0,$162.0,$166.5,X,,,#N/A,#N/A,#N/A,#N/A,,6.3,6.3,$18.50,#N/A,6.3,$115.9,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,5.67%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,5.67%,,#N/A,,,
,"Announce {NSN IF8RWF3T6SQR <go>}, Final {NSN IH0KAC3T6SQP <go>}",DLP US,DLP US Equity,Delta & Pine Land Co,#N/A,4/20/2005,5/17/2005,4/19/05,5/10/05,5/18/05,20050118,20050419,27,,$25.00,$28.75,1.7,1.7,$43.5,$50.0,X,2.4,,#N/A,#N/A,#N/A,#N/A,,2.4,N/A,$27.00,#N/A,2.4,$64.1,100.0%,73.2%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-2.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-117.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-117.65%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-117.65%,,#N/A,,,
,Announce {NSN IG2HJN3TCF0H <go>},MWV US,MWV US Equity,MeadWestvaco Corp,#N/A,5/6/2005,6/8/2005,5/5/05,6/1/05,6/9/05,20050203,20050505,32,,$28.25,$32.50,16.0,16.0,$452.0,$520.0,X,18.7,,#N/A,#N/A,#N/A,#N/A,,18.7,N/A,$29.50,#N/A,18.7,$551.8,100.0%,85.5%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,13.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,86.91%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,86.91%,,#N/A,,,
,"Announce {NSN IGKUGE3T6SQR <go>}, Final {NSN II8WYC3T6SQP <go>}",EMMS US,EMMS US Equity,Emmis Communications Corp,#N/A,5/10/2005,6/13/2005,5/9/05,6/6/05,6/14/05,20050207,20050509,33,,$17.25,$19.75,20.3,20.3,$349.3,$399.9,X,,,#N/A,#N/A,#N/A,#N/A,,24.3,N/A,$19.50,#N/A,20.3,$394.9,83.4%,83.4%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,23.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,115.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,115.05%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,115.05%,,#N/A,,,
,"Announce {NSN IH2J413V7U9T <go>}, Ammend {NSN IIL7B13V2801 <go>}, Final {NSN IJMWO23V2801 <go>}",PLMD US,PLMD US Equity,PolyMedica Corp,#N/A,5/26/2005,7/8/2005,5/25/05,6/30/05,7/11/05,20050223,20050525,42,,$34.75,$37.50,4.0,4.3,$150.0,$150.0,,,,#N/A,#N/A,#N/A,#N/A,,6.9,6.9,$37.50,#N/A,4.0,$150.0,58.0%,58.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,53.39%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,53.39%,,#N/A,,,
,"Announce {NSN II2R6X3T6SQP <go>}, , Final {NSN IK0YI43T6SQP <go>}",MYL US,MYL US Equity,Mylan Inc/PA,#N/A,6/14/2005,7/15/2005,6/13/05,7/8/05,7/18/05,20050314,20050613,31,,$18.00,$20.50,48.8,48.8,$878.0,"$1,000.0",X,51.3,,#N/A,#N/A,#N/A,#N/A,,54.4,N/A,$19.50,#N/A,51.3,"$1,000.0",94.3%,89.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,31.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,63.47%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,63.47%,,#N/A,,,
,"Announce {NSN IIFMM43V2802 <go>}, Final {NSN IKB1043V2801 <go>}",BAMM US,BAMM US Equity,Books-A-Million Inc,#N/A,6/21/2005,7/21/2005,6/20/05,7/14/05,7/22/05,20050321,20050620,30,,$8.75,$10.00,4.0,4.0,$35.0,$40.0,X,,,#N/A,#N/A,#N/A,#N/A,,0.1,0.1,$10.00,#N/A,0.1,$0.6,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,64.57%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,64.57%,,#N/A,,,
,"Announce {NSN IIUEK33V7U9T <go>},",PFGC US,PFGC US Equity,Performance Food Group Co,#N/A,6/29/2005,8/11/2005,6/28/05,8/4/05,8/12/05,20050329,20050628,42,,$27.50,$31.50,10.0,10.0,$275.0,$315.0,X,10.1,,#N/A,#N/A,#N/A,#N/A,,10.1,N/A,$29.75,#N/A,10.1,$299.6,100.0%,99.3%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,11.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,111.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,111.91%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,111.91%,,#N/A,,,
,"Announce {NSN IJVJ4R3T6SQP <go>}, Final {NSN IM1AOD3T6SQQ <go>}",EXAR US,EXAR US Equity,Exar Corp,#N/A,7/19/2005,8/23/2005,7/18/05,8/16/05,8/24/05,20050418,20050718,34,,$15.00,$17.00,7.1,8.0,$120.0,$120.0,,,,#N/A,#N/A,#N/A,#N/A,,9.4,N/A,$16.00,#N/A,7.5,$120.0,79.6%,79.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,5.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,71.31%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,71.31%,,#N/A,,,
,"Announce {NSN I69KUD3V7U9T <go>}, Final {NSN I7ZTHS3V2802 <go>}",NATR US,NATR US Equity,Nature's Sunshine Products Inc,#N/A,10/28/2004,11/23/2005,10/27/04,11/16/05,11/25/05,20040728,20041027,385,,$14.20,$16.50,1.0,1.0,$14.2,$16.5,X,,,#N/A,#N/A,#N/A,#N/A,,1.5,1.5,$16.50,#N/A,1.0,$16.5,67.4%,67.4%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,264.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,264.54%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,264.54%,,#N/A,,,
,"Announce NSN IKODK13V2802 <GO>, Final NSN IONPA33V7U9T <GO>",3306180Q US,3306180Q US Equity,Central Parking Corp,#N/A,8/4/2005,10/14/2005,8/3/05,10/7/05,10/17/05,20050504,20050803,70,,$14.00,$16.00,4.4,4.4,$61.6,$70.4,X,4.9,,#N/A,#N/A,#N/A,#N/A,,4.9,N/A,$15.50,#N/A,4.9,$75.3,100.0%,90.5%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,1.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,28.54%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,28.54%,,#N/A,,,
,"Announce NSN IM0AUJ3T6SQP <GO>, Prelim  NSN INKP4O3T6SQQ <GO>, Final  NSN INUB7Y3T6SQP <GO>",8285461Q US,8285461Q US Equity,EGL Inc,#N/A,8/30/2005,9/28/2005,8/29/05,9/21/05,9/29/05,20050530,20050829,28,,$22.50,$26.00,9.6,9.6,$216.3,$250.0,X,,,#N/A,#N/A,#N/A,#N/A,,8.1,8.1,$26.00,#N/A,8.1,$210.2,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,25.44%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,25.44%,,#N/A,,,
,"Announce  NSN IMPEA03T6SQP <GO>, Commence NSN IN9SIR3T6SQP <GO>, Ammend NSN INH6GX3T6SQP <GO>, Prelim NSN IO8ZZK3T6SQP <GO>, Final NSN IOIE4V3T6SQP <GO>",DY US,DY US Equity,Dycom Industries Inc,#N/A,9/12/2005,10/11/2005,9/9/05,10/4/05,10/12/05,20050610,20050909,29,,$18.50,$21.00,9.5,9.5,$175.8,$199.5,X,,,#N/A,#N/A,#N/A,#N/A,,8.8,8.8,$21.00,#N/A,8.8,$184.0,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-4.52%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-4.52%,,#N/A,,,
,"Announce NSN IOARWJ3T6SQP <GO>, Prelim  NSN IPZZH03T6SQP <GO>, Final NSN IQ60Y63T6SQP <GO>",3605818Q US,3605818Q US Equity,HCA Inc/DE - Pre 2010 IPO,#N/A,10/13/2005,11/14/2005,10/12/05,11/7/05,11/15/05,20050713,20051012,31,,$43.00,$50.00,50.0,50.0,"$2,150.0","$2,500.0",X,,,#N/A,#N/A,#N/A,#N/A,,28.7,28.7,$50.00,#N/A,28.7,"$1,437.0",100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,6.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,12.38%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,12.38%,,#N/A,,,
,"Announce NSN IV1I4X3T6SQP <GO>,  NSN IVH0JZ3T6SQP <GO>, Ammend  NSN IWWSHS3T6SQP <GO>}, Prelim NSN IXM1NI3TCF0H <GO>, Final NSN IYAR7P3T6SQP <GO>",SHLM US,SHLM US Equity,A Schulman Inc,#N/A,2/21/2006,4/11/2006,2/17/06,4/4/06,4/12/06,20051118,20060217,50,,$21.00,$24.00,8.8,8.8,$183.8,$210.0,X,,,#N/A,#N/A,#N/A,#N/A,,2.1,2.1,$24.00,#N/A,2.1,$49.7,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,1.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,13.35%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,13.35%,,#N/A,,,
,"Announce NSN IPBZ253TCF0H <GO>, Ammend NSN IQ68423T6SQP <GO>, Prelim NSN IR12Y43T6SQP <GO>, Final  NSN IR92Z13T6SQP <GO>",FFBC US,FFBC US Equity,First Financial Bancorp,#N/A,11/2/2005,12/2/2005,11/1/05,11/25/05,12/5/05,20050802,20051101,30,,$17.50,$19.50,3.3,3.3,$56.9,$63.4,X,,,#N/A,#N/A,#N/A,#N/A,,3.7,5.2,$19.00,#N/A,3.3,$61.8,88.6%,88.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-12.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-12.07%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-12.07%,,#N/A,,,
,"Announce  NSN IPYQPD3V2801 <GO>, Final NSN IRRKLD3V2801 <GO>, Prelim NSN IRHQWA3V2805 <GO>, ",A US,A US Equity,Agilent Technologies Inc,#N/A,11/15/2005,12/13/2005,11/14/05,12/6/05,12/14/05,20050815,20051114,28,,$32.00,$37.00,73.0,73.0,"$2,336.0","$2,701.0",X,83.1,,#N/A,#N/A,#N/A,#N/A,,88.6,N/A,$36.00,#N/A,83.1,"$2,990.8",93.7%,82.4%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,49.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,67.98%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,67.98%,,#N/A,,,
,"Announce  NSN IQO7VP3V2801 <GO>, Final NSN ISXM913V2801 <GO>",UCAP US,UCAP US Equity,United Capital Corp,#N/A,11/28/2005,1/10/2006,11/25/05,1/3/06,1/11/06,20050826,20051125,42,,$23.50,$24.50,1.0,1.0,$23.5,$24.5,X,,,#N/A,#N/A,#N/A,#N/A,,0.5,0.5,$24.50,#N/A,0.5,$13.3,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,2.40%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,2.40%,,#N/A,,,
,"Announce NSN IRVGJQ3T6SQP <GO>, Commence  NSN ISBYW33T6SQP <GO>, Ammend NSN ITOCNP3T6SQP <GO>, Prelim  NSN IU2D2H3T6SQP <GO>, Final NSN IUE8LN3TCF0H <GO>",CPIC US,CPIC US Equity,CPI Corp,#N/A,12/22/2005,2/1/2006,12/21/05,1/25/06,2/2/06,20050921,20051221,39,,$17.00,$20.00,1.5,1.5,$25.5,$30.0,X,1.7,,#N/A,#N/A,#N/A,#N/A,,1.7,2.3,$19.50,#N/A,1.7,$32.3,97.0%,87.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,12.11%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,12.11%,,#N/A,,,
