,,,,,,Date,,,,,,,,,Terms,,,,,,,,,,,,,,Results,,,,,,,,,,Pricing,,,,,,Market Pricing,,,,,,,Trading Statistics,,,,,,,,,,cust_trr_start_dt,cust_trr_end_dt,cust_trr_return_holding_per,,,,Predicted Participation at Tender Price,,,,,,,,,Predicted Premium of Tender Price,,,,,,,,,
,Notes,Ticker,Concatenation ,Target Name,Market Cap,Announced,Expiration,Pre-Deal Date,5-Days Prior to Expiration Date,Post Expiration Date,,,Duration,,Min Price,Max Price,Min Shares,Max Shares ,Min Value,Max Value,Size by Shrs,Upsided Option (shrs),Max Upside with 2%,Shares Eligible for Tender,Total Shares O/S,Relative Size,Adjusted Relative Size,,Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Premium Paid,Shares Purchased,Value Repurchased,Proration At Acceptance Price % (total shares),Proration At Acceptance Price % (announced shares),Participation at Acceptance Price % ,,Pre-Deal,Deal on Announcement,5-Days Prior to Expiration Date,On Expiration Date,After Expiration,,SPX on Deal Announcement,SPX on Expiration Date,VIX on Expiration Date,Implied Vol - Vix,52 Week Low,52 Week High,,Tender Premium % (Low tender price),Tender Premium % (high tender price),Pro-Rate (low tender price),Pro-Rate (high tender price),Total Excess Volume vs. Historical Average,Implied Pre-Deal Vol (60-day),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Stock Change Post Tender Expiration,Change in SPX over Tender Period,Stock vs. SPX over Tender Period,Total Excess Volume / Average Shares to be Repurchased,Stock Pre Tender 90 Day Performance,Implied Pre 90 Day Price,Tender Premium to 3 Month Pre-Tender Price,,Participation at Tender Price,Adjusted Relative Size,Tender Premium % (high tender price),Excess Volume / Average Shares to be Repurchased,Stock Appreciation Over Tender Period,Stock Change Post Tender Expiration,,Tender Premium to 3 Month Pre-Tender Price,,Premium Paid,Tender Premium % (high tender price),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Total Excess Volume / Average Shares to be Repurchased,,Stock Change On Announce Day,,,
,"Announce {NSN HDRTNB3H0JK2 <go>}, Final {NSN HFMB6U3H65TT <go>}",AOT US,AOT US Equity,Apogent Technologies Inc,#N/A,4/23/2003,5/21/2003,4/22/03,5/14/03,5/22/03,20030121,20030422,28,,$15.00,$17.50,15.0,15.0,$225.0,$262.5,X,,,#N/A,#N/A,#N/A,#N/A,,6.0,6.0,$17.50,#N/A,6.0,$105.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$14.58 ,$24.87 ,,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-2.64%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-2.64%,,#N/A,,,
,"Announce {NSN HDX0QT3H0JK1 <go>}, Ammend, Final {NSN HHVLDI3H0JK1 <go>}'",RCII US,RCII US Equity,Rent-A-Center Inc/TX,#N/A,4/28/2003,6/19/2003,4/25/03,6/12/03,6/20/03,20030124,20030425,51,,$67.00,$73.00,2.2,2.2,$147.4,$160.6,X,,,#N/A,#N/A,#N/A,#N/A,,1.8,1.8,$73.00,#N/A,1.8,$129.2,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$39.01 ,$63.51 ,,#N/A,#N/A,#N/A,#N/A,-4.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-191.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-191.12%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-191.12%,,#N/A,,,
,Announce {NSN HFXIQ63H65TT <go>},GBL US,GBL US Equity,GAMCO Investors Inc,#N/A,6/4/2003,7/7/2003,6/3/03,6/27/03,7/8/03,20030304,20030603,33,,$28.00,$31.75,0.8,0.8,$22.4,$25.4,X,,,#N/A,#N/A,#N/A,#N/A,,0.0,0.0,$31.75,#N/A,0.0,$0.0,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$25.38 ,$39.87 ,,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,55.70%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,55.70%,,#N/A,,,
,Announce {NSN HG9I4B3T6SQP <go>},CBZ US,CBZ US Equity,CBIZ Inc,#N/A,6/10/2003,7/9/2003,6/9/03,7/1/03,7/10/03,20030310,20030609,29,,$3.00,$3.30,14.0,14.0,$42.0,$46.2,X,,,#N/A,#N/A,#N/A,#N/A,,9.9,9.9,$3.30,#N/A,9.9,$32.8,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,$2.01 ,$3.44 ,,#N/A,#N/A,#N/A,#N/A,3.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,22.51%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,22.51%,,#N/A,,,
,"Announce {NSN HHCELZ3H0JK1 <go>}, Final {NSN HIU9JW3H65TU <go>}",ZLC US,ZLC US Equity,Zale Corp,#N/A,7/1/2003,7/29/2003,6/30/03,7/22/03,7/30/03,20030331,20030630,28,,$42.00,$48.00,6.4,6.4,$268.8,$307.2,X,,,#N/A,#N/A,#N/A,#N/A,,4.7,4.7,$48.00,#N/A,4.7,$225.6,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,11.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,172.10%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,172.10%,,#N/A,,,
,Announce {NSN HJB5PT3H65TT <go>},BHS US,BHS US Equity,Brookfield Homes Corp,#N/A,8/8/2003,9/30/2003,8/7/03,9/23/03,10/1/03,20030508,20030807,52,,$15.50,$18.50,5.0,5.0,$77.5,$92.5,X,,,#N/A,#N/A,#N/A,#N/A,,1.1,1.1,$18.50,#N/A,1.1,$20.2,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-2.95%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-2.95%,,#N/A,,,
,Announce {NSN HO9CAQ3T6SQP <go>},562340Q US,562340Q US Equity,Metro-Goldwyn-Mayer Inc,#N/A,11/13/2003,1/15/2004,11/12/03,1/8/04,1/16/04,20030813,20031112,62,,$16.25,$18.00,10.0,10.0,$162.5,$180.0,X,,,#N/A,#N/A,#N/A,#N/A,,16.2,N/A,$17.00,#N/A,10.0,$170.0,61.7%,61.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-6.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-68.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-68.10%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-68.10%,,#N/A,,,
,Announce {NSN HOYMVG3V7U9T <go>},CACC US,CACC US Equity,Credit Acceptance Corp,#N/A,11/26/2003,1/6/2004,11/25/03,12/29/03,1/7/04,20030826,20031125,40,,$12.50,$17.00,2.6,2.6,$32.5,$44.2,X,,,#N/A,#N/A,#N/A,#N/A,,2.2,2.2,$17.00,#N/A,2.2,$37.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,2.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,77.96%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,77.96%,,#N/A,,,
,"Announce {NSN HPZLCD3T6SQP <go>}, Final {NSN HS5ERV3T6SQP <go>}",ATAC US,ATAC US Equity,ATC Technology Corp/IL,#N/A,12/16/2003,1/20/2004,12/15/03,1/12/04,1/21/04,20030915,20031215,34,,$13.00,$15.75,2.6,2.6,$34.3,$41.6,X,,,#N/A,#N/A,#N/A,#N/A,,4.4,4.4,$15.75,#N/A,2.6,$41.6,59.6%,59.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,22.64%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,22.64%,,#N/A,,,
,Announce {NSN HTOXDS3T6SQP <go>},LTD US,LTD US Equity,Ltd Brands Inc,#N/A,2/26/2004,3/26/2004,2/25/04,3/19/04,3/29/04,20031126,20040225,30,,$19.75,$22.50,44.4,50.6,"$1,000.0","$1,000.0",,,,472.4,536.4,8.9%,10.1%,,65.4,N/A,$19.75,#N/A,50.6,"$1,000.0",77.4%,77.4%,13.8%,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,9.4%,10.7%,48.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101.1%,#NAME?,#N/A,#N/A,,13.85%,10.06%,#N/A,101.11%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,101.11%,,#N/A,,,
